fecha,departamento,municipio,precipitacion_mm,demanda_municipio_est_gwh,demanda_predicha_gwh,error_absoluto
2026-01-01,La Guajira,San Juan del Cesar,0.0,0.0,0.010832382237350892,0.010832382237350892
2026-01-01,La Guajira,Uribia,0.0,0.000855,0.07127782493697991,0.07042282493697992
2026-01-01,Magdalena,Magdalena,0.0,0.0,0.008159550488202523,0.008159550488202523
2026-01-01,Magdalena,Ciénaga,20.0,0.0,0.0,0.0
2026-01-01,Magdalena,El Banco,20.0,0.001848,0.0012351607043836275,0.0006128392956163725
2026-01-01,Magdalena,Fundación,20.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-01,Magdalena,Santa Marta,20.0,0.322239,0.43215060312312326,0.10991160312312326
2026-01-01,Meta,Meta,0.0,0.0,0.0,0.0
2026-01-01,Meta,Acacías,44.575,0.0,0.0,0.0
2026-01-01,Meta,Granada,44.575,0.030882,0.01711641120954842,0.013765588790451581
2026-01-01,Meta,Puerto López,44.575,0.0,0.0005467116082744075,0.0005467116082744075
2026-01-01,Meta,Villavicencio,44.575,6.399106,4.3200951653738535,2.079010834626146
2026-01-01,Nariño,Nariño,0.0,0.0,0.0022404998815974556,0.0022404998815974556
2026-01-01,Nariño,Ipiales,0.0,0.011562,0.01366816094568341,0.002106160945683411
2026-01-01,Nariño,Pasto,0.0,0.081195,0.08723717066758774,0.006042170667587735
2026-01-01,Nariño,Tumaco,0.0,0.026706,0.016122351575244682,0.010583648424755319
2026-01-01,Nariño,Tuquerres,0.0,0.003083,0.016122351575244682,0.013039351575244683
2026-01-01,Norte de Santander,Norte de Santander,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-01,Norte de Santander,Cucutá,0.0,0.0,0.0,0.0
2026-01-01,Norte de Santander,Ocaña,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-01,Norte de Santander,Pamplona,0.0,0.001253,0.0004026142013689178,0.0008503857986310822
2026-01-01,Norte de Santander,Villa del Rosario,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-01,Putumayo,Putumayo,0.0,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-01,Putumayo,Mocoa,0.25,0.061208,0.049441265397536405,0.011766734602463594
2026-01-01,Putumayo,Orito,0.25,0.000225,0.0004026142013689178,0.00017761420136891778
2026-01-01,Putumayo,Puerto Asís,0.25,0.0,0.0004026142013689178,0.0004026142013689178
2026-01-01,Quindío,Quindío,0.0,0.0,0.002846168095513756,0.002846168095513756
2026-01-01,Quindío,Armenia,9.7,0.062532,0.07659775498147436,0.01406575498147436
2026-01-01,Quindío,Calarcá,9.7,0.0,0.0,0.0
2026-01-01,Quindío,Montenegro,9.7,0.007899,0.0125970843235176,0.0046980843235176
2026-01-01,Quindío,Quimbaya,9.7,0.003931,0.002846168095513756,0.0010848319044862438
2026-01-01,Risaralda,Risaralda,0.0,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-01,Risaralda,Belén de Umbría,9.4,0.0,0.0,0.0
2026-01-01,Risaralda,Dosquebradas,9.4,0.0,0.0,0.0
2026-01-01,Risaralda,Pereira,9.4,0.2495,0.41680302322889773,0.16730302322889773
2026-01-01,Risaralda,Santa Rosa de Cabal,9.4,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-01,Santander,Santander,0.0,0.0,0.0010784720856514426,0.0010784720856514426
2026-01-01,Sucre,Sucre,0.0,0.0,0.002807073915801902,0.002807073915801902
2026-01-01,Sucre,Corozal,10.0,0.022292,0.02724903549759394,0.00495703549759394
2026-01-01,Sucre,San Marcos,10.0,0.005235,0.006190475945402813,0.0009554759454028132
2026-01-01,Sucre,Sincelejo,20.0,0.18268,0.21485407166647708,0.032174071666477067
2026-01-01,Sucre,Tolú,10.0,0.0,0.002807073915801902,0.002807073915801902
2026-01-01,Tolima,Tolima,0.0,0.0,0.002807073915801902,0.002807073915801902
2026-01-01,Tolima,Espinal,0.2,0.054,0.0788134338989718,0.024813433898971803
2026-01-01,Tolima,Honda,0.2,0.002036,0.0029695034128318825,0.0009335034128318824
2026-01-01,Tolima,Ibagué,0.2,0.0,0.0,0.0
2026-01-01,Tolima,Líbano,0.2,0.0,0.0,0.0
2026-01-01,Tolima,Melgar,0.2,0.027746,0.05251694704089961,0.02477094704089961
2026-01-01,Valle del Cauca,Valle del Cauca,0.0,0.0,0.0,0.0
2026-01-01,Valle del Cauca,Buenaventura,0.4,0.104117,0.12344381817815134,0.019326818178151337
2026-01-01,Valle del Cauca,Cali,0.4,1.684235,1.9912256551778618,0.30699065517786184
2026-01-01,Valle del Cauca,Cartago,0.4,0.110602,0.13504996725611582,0.02444796725611581
2026-01-01,Valle del Cauca,Palmira,0.4,0.693174,0.8515397456363607,0.15836574563636074
2026-01-01,Valle del Cauca,Tuluá,0.4,0.0,0.0,0.0
2026-01-12,Antioquia,Antioquia,0.0,0.0,0.0,0.0
2026-01-12,Arauca,Arauca,0.0,0.0,0.0,0.0
2026-01-12,Atlántico,Atlántico,0.0,0.0,0.0,0.0
2026-01-12,Bogotá,Bogotá,0.0,0.0,0.0,0.0
2026-01-12,Bogotá,Bogotá (municipio),0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Bolívar,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,Cartagena,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,El Carmen de Bolívar,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Bolívar,Magangué,0.0,0.0,0.008159550488202523,0.008159550488202523
2026-01-12,Bolívar,Turbaco,0.0,0.0,0.011169673021030193,0.011169673021030193
2026-01-12,Boyacá,Boyacá,0.0,0.0,0.0,0.0
2026-01-12,Boyacá,Chiquinquira,4.5,0.019653,0.015905901455639058,0.0037470985443609425
2026-01-12,Boyacá,Duitama,4.5,0.063491,0.04419179581214106,0.019299204187858944
2026-01-12,Boyacá,Puerto Boyacá,4.5,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Boyacá,Sogamoso,4.5,0.554106,0.4497684761538407,0.1043375238461593
2026-01-12,Caldas,Caldas,0.0,0.0,0.0,0.0
2026-01-12,Caldas,Chinchiná,11.35,0.0,0.0,0.0
2026-01-12,Caldas,La Dorada,11.35,0.020285,0.008159550488202523,0.012125449511797478
2026-01-12,Caldas,Manizales,11.35,0.939841,0.8256144244855469,0.11422657551445314
2026-01-12,Caldas,Riosucio,11.35,0.0,0.014896440910434704,0.014896440910434704
2026-01-12,Caldas,Villamaría,11.35,0.0,0.020167802642475308,0.020167802642475308
2026-01-12,Caquetá,Caquetá,0.0,0.0,0.0,0.0
2026-01-12,Caquetá,Belén de los Andaquíes,0.0,0.0,0.0,0.0
2026-01-12,Caquetá,Florencia,0.0,0.007557,0.0012351607043836275,0.006321839295616373
2026-01-12,Caquetá,San Vicente del Caguán,0.0,0.0,0.014896440910434704,0.014896440910434704
2026-01-12,Casanare,Casanare,0.0,0.0,0.0,0.0
2026-01-12,Casanare,Aguazul,0.0,0.018879,0.023258560074596365,0.004379560074596365
2026-01-12,Casanare,Paz de Ariporo,0.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Casanare,Tauramena,0.0,0.442015,0.5914395994664772,0.14942459946647718
2026-01-12,Casanare,Yopal,0.0,0.085243,0.09348763302280955,0.008244633022809547
2026-01-12,Cauca,Cauca,0.0,0.0,0.0,0.0
2026-01-12,Cauca,Patía,21.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Cauca,Popayán,21.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Cauca,Puerto Tejada,21.0,0.20327,0.014896440910434704,0.1883735590895653
2026-01-12,Cauca,Santander de Quilichao,21.0,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Cesar,Cesar,0.0,0.0,0.0,0.0
2026-01-12,Cesar,Aguachica,0.0,0.019297,0.022847000910473803,0.0035500009104738016
2026-01-12,Cesar,Agustín Codazzi,0.0,0.0,0.0,0.0
2026-01-12,Cesar,Bosconia,0.0,0.004122,0.0048716290701106635,0.0007496290701106637
2026-01-12,Cesar,Valledupar,0.0,0.178128,0.12811258643140258,0.05001541356859743
2026-01-12,Chocó,Chocó,0.0,0.0,0.0,0.0
2026-01-12,Chocó,Bahía Solano,6.8,0.0,0.0,0.0
2026-01-12,Chocó,El Carmén,6.8,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Chocó,Itsmina,6.8,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Chocó,Quibdó,6.1,0.0,0.014896440910434704,0.014896440910434704
2026-01-12,Cundinamarca,Cundinamarca,0.0,0.0,0.0,0.0
2026-01-12,Cundinamarca,Chía,0.0,0.0,0.0,0.0
2026-01-12,Cundinamarca,Facatativá,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Cundinamarca,Fusagasugá,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Cundinamarca,Soacha,0.0,0.427991,0.4497684761538407,0.02177747615384068
2026-01-12,Cundinamarca,Zipaquirá,0.0,0.0,0.0,0.0
2026-01-12,Córdoba,Córdoba,0.0,0.0,0.0,0.0
2026-01-12,Córdoba,Cereté,3.2,0.0,0.0,0.0
2026-01-12,Córdoba,Lorica,3.2,0.022909,0.008159550488202523,0.014749449511797475
2026-01-12,Córdoba,Montelibano,3.2,3.316328,3.4709350831018844,0.15460708310188442
2026-01-12,Córdoba,Montería,3.2,0.0,0.008888709857893895,0.008888709857893895
2026-01-12,Córdoba,Sahagún,3.2,0.0,0.014896440910434704,0.014896440910434704
2026-01-12,Huila,Huila,0.0,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Huila,Garzón,2.1,0.0,0.0012351607043836275,0.0012351607043836275
2026-01-12,Huila,La Plata,2.1,0.000652,0.008159550488202523,0.0075075504882025235
2026-01-12,Huila,Neiva,2.1,0.168399,0.2512459490693344,0.0828469490693344
2026-01-12,Huila,Pitalito,2.1,0.016796,0.2512459490693344,0.2344499490693344
2026-01-12,La Guajira,La Guajira,0.0,0.0,0.008159550488202523,0.008159550488202523
