Caracteristica,Importancia
muni_code,0.7786425091836356
depto_code,0.18261659399042424
anio,0.0213238986833778
mes,0.010108824905257417
es_fin_semana,0.0030452713146349023
dia,0.001925897511674349
es_festivo,0.001546924966781572
precipitacion_mm_promedio_depto,0.0004061584928912816
precipitacion_mm,0.00038392095132284276
